title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
Cryptonomicon,,Neal Stephenson,Fiction,http://books.google.com/books/content?id=qYAmfUBPN-UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon",2002,4.25,1139,80225
Falling Up,Poems and Drawings,Shel Silverstein,Juvenile Nonfiction,,A collection of humorous poems and drawings. Copyright 짤 Libri GmbH. All rights reserved.,2002,4.34,178,114058
Anansi Boys,,Neil Gaiman,Fiction,http://books.google.com/books/content?id=VagoPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother. Now brother Spider's on his doorstep?봞bout to make Fat Charlie's life more interesting . . . and a lot more dangerous.,2006,4.02,387,153485
Fragile Things,Short Fictions and Wonders,Neil Gaiman,Fiction,http://books.google.com/books/content?id=ggLzJskmIqYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A mysterious circus terrifies an audience for one extraordinary performance before disappearing into the night, taking one of the spectators along with it . . . In a novella set two years after the events of American Gods, Shadow pays a visit to an ancient Scottish mansion, and finds himself trapped in a game of murder and monsters . . . In a Hugo Award-winning short story set in a strangely altered Victorian England, the great detective Sherlock Holmes must solve a most unsettling royal murder . . . Two teenage boys crash a party and meet the girls of their dreams?봞nd nightmares . . . In a Locus Award-winning tale, the members of an excusive epicurean club lament that they've eaten everything that can be eaten, with the exception of a legendary, rare, and exceedingly dangerous Egyptian bird . . . Such marvelous creations and more?봧ncluding a short story set in the world of The Matrix, and others set in the worlds of gothic fiction and children's fiction?봠an be found in this extraordinary collection, which showcases Gaiman's storytelling brilliance as well as his terrifyingly entertaining dark sense of humor. By turns delightful, disturbing, and diverting, Fragile Things is a gift of literary enchantment from one of the most unique writers of our time.",2006,4.01,360,43210
What Went Wrong?,The Clash Between Islam and Modernity in the Middle East,Bernard Lewis,History,http://books.google.com/books/content?id=qgNrVchhhfMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For centuries, the world of Islam was in the forefront of human achievement -- the foremost military and economic power in the world, the leader in the arts and sciences of civilization. Christian Europe was seen as an outer darkness of barbarism and unbelief from which there was nothing to learn or to fear. And then everything changed. The West won victory after victory, first on the battlefield and then in the marketplace. In this elegantly written volume, Bernard Lewis, a renowned authority an Islamic affairs, examines the anguished reaction of the Islamic world as it tried to make sense of how it had been overtaken, overshadowed, and dominated by the West. In a fascinating portrait of a culture in turmoil, Lewis shows how the Middle East turned its attention to understanding European weaponry, industry, government, education, and culture. He also describes how some Middle Easterners fastened blame on a series of scapegoats, while others asked not ""Who did this to us?"" but rather ""Where did we go wrong?"" With a new Afterword that addresses September 11 and its aftermath, What Went Wrong? is an urgent, accessible book that no one who is concerned with contemporary affairs will want to miss.",2003,3.49,186,2409
Letters from the Earth,Uncensored Writings,Mark Twain,Literary Criticism,http://books.google.com/books/content?id=uURT_Dwfby0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""I have told you nothing about man that is not true."" You must pardon me if I repeat that remark now and then in these letters; I want you to take seriously the things I am telling you, and I feel that if I were in your place and you in mine, I should need that reminder from time to time, to keep my credulity from flagging. In Letters from the Earth, Twain presents himself as the Father of History -- reviewing and interpreting events from the Garden of Eden through the Fall and the Flood, translating the papers of Adam and his descendants through the generations. First published fifty years after his death, this eclectic collection is vintage Twain: sharp, witty, imaginative, complex, and wildly funny.",2004,4.22,321,6447
Savannah Blues,A Novel,Mary Kay Andrews,Fiction,http://books.google.com/books/content?id=q6lDgw6lr-MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Landing a catch like Talmadge Evans III got Eloise ""Weezie"" Foley a jewel of a town house in Savannah's historic district. Divorcing Tal got her exiled to the backyard carriage house, where she has launched a spite-fest with Tal's new fianc횋e, the elegant Caroline DeSantos. An antiques picker, Weezie combs Savannah's steamy back alleys and garage sales for treasures when she's not dealing with her loopy relatives or her hunky ex-boyfriend. But an unauthorized sneak preview at a sale lands Weezie smack in the middle of magnolia-scented murder, mayhem...and more. Dirty deals simmer all around her?봨ust as her relationship with the cutest chef in town heats up and she finds out how delicious love can be the second time around.",2003,3.98,404,15417
The Whipping Boy,,Sid Fleischman,Juvenile Fiction,http://books.google.com/books/content?id=zxTR6u81GY8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A Prince and a Pauper Jemmy, once a poor boy living on the streets, now lives in a castle. As the whipping boy, he bears the punishment when Prince Brat misbehaves, for it is forbidden to spank, thrash, or whack the heir to the throne. The two boys have nothing in common and even less reason to like one another. But when they find themselves taken hostage after running away, they are left with no choice but to trust each other.",2003,3.56,90,19910
The Innovator's Dilemma,The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,Business & Economics,http://books.google.com/books/content?id=qZxlDIzXyqwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this revolutionary bestseller, Harvard professor Clayton M. Christensen says outstanding companies can do everything right and still lose their market leadership -- or worse, disappear completely. And he not only proves what he says, he tells others how to avoid a similar fate. Focusing on ""disruptive technology"" -- the Honda Super Cub, Intel's 8088 processor, or the hydraulic excavator, for example -- Christensen shows why most companies miss ""the next great wave."" Whether in electronics or retailing, a successful company with established products will get pushed aside unless managers know when to abandon traditional business practices. Using the lessons of successes and failures from leading companies, The Innovator's Dilemma presents a set of rules for capitalizing on the phenomenon of disruptive innovation. Find out: When it is right not to listen to customers. When to invest in developing lower-performance products that promise lower margins. When to pursue small markets at the expense of seemingly larger and more lucrative ones. Sharp, cogent, and provocative, The Innovator's Dilemma is one of the most talked-about books of our time -- and one no savvy manager or entrepreneur should be without.",2003,3.99,286,28568
A Nose for Murder,,Lee Charles Kelley,Fiction,http://books.google.com/books/content?id=c3PIvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Former cop-turned-dog trainer Jack Field is called in when the body of Allison DeMarco is found on her kitchen floor, accompanied by her high-strung Airedale, Ginger, and must enlist his special skills to find out what happened since Ginger appears to be the only witness to the crime. Original.",2003,3.47,267,93
Happiness,A Novel,Will Ferguson,Fiction,http://books.google.com/books/content?id=4B2EYGj68uQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Why would there be a contract out on Edwin de Valu's life? Edwin -- the wiry low-level editor at Panderic Press. Why has rage disappeared from the roads and McDonald's gone alfalfa? How come everyone seems so damn happy? And most importantly, who, or what, is Tupak Soiree? When an enormous self-help manuscript lands on Edwin's desk, it's headed for the trash. Edwin's cynicism of self-help books, coupled with his filthy mood that morning, results in him dismissing Tupak Soiree's What I Learned on the Mountain and using it as a doorstop. However, Tupak's manuscript is unique -- a self-help book that actually works. Before Edwin knows it, a chain of events begins that affects not only his own life but the world at large. For those who choke on Chicken Soup for the Soul or have choice words for Dr. Phil, Will Ferguson offers up a killer dose of Happiness??-- a masterpiece of comic fiction.",2003,3.78,320,2191
